35.22.16.99,139.24.59.78
35.20.28.53,139.23.26.12
42.52.59.2,141.42.53.2
42.59.38.4,141.26.45.6
43.2.9.5,141.25.59.4
43.0.38.3,141.47.21
43.5.50.2,141.15.28
43.5.36.7,141.31.27.3
43.10.35.3,141.25.44.1
43.19.22,141.51.27.5
43.32.48.4,141.54.22.6
43.9.33.9,141.16.2.5
42.57.20.9,141.20.39
42.19.8.8,140.16.30.2
42.25.46.5,140.0.3.8
42.37.16.1,141.50.12.3
42.13.28.9,142.37.34.6
42.10.35,142.50.58.6
42.7.37.7,143.19.2.3
42.43.50.2,141.46.24
42.39.2,141.36.16.5
43.7.1.4,144.7.48.7
43.23.20.1,145.7.41
43.35.32.3,145.12.17
43.2.37.1,142.58.11.3
42.42.21.1,143.8.16
42.55.44.8,143.25.46.4
43.9.6.3,143.12.35.5
42.55.18.8,143.3.43.5
43.42.7.3,144.1.28.6
44.35.10.8,142.57.31.6
44.2.16,142.59.32.6
43.40.41.2,143.35.12.5
45.24.28.4,141.40.32.8
45.22.57.9,141.42.29.4
41.52.2.8,140.40.3.6
43.9.57.3,141.46.9.3
43.10.27,143.0.23.2
42.45.12.2,142.8.4.4
44.1.6.1,143.46.43.8
42.57.0.9,141.50.48.3
44.57.21.8,142.9.11.9
44.11.1.8,142.40.38.4
43.4.55,144.38.41.7
42.41.0.4,141.26.22.2
43.1.57.5,145.1.36.7
43.6.56.4,141.16.10.4
43.6.44.4,141.20.14.3
42.59.39.6,141.27.26.3
43.4.36.3,141.23.56.9
43.3.8.8,141.24.13.2
42.6.10.5,140.36.30.3
41.51.57.3,140.7.15.1
43.8.36.3,141.8.48.8
43.10.29.3,141.4.6.2
43.9.26.3,141.6.44.8
43.8.29.8,141.10.44.6
43.11.32.1,140.48.21
42.54.5.4,140.45.9.5
43.11.15.5,141.0.2
43.45.12,142.15.27
44.44.19.3,142.8.7.2
43.12.33.6,142.32.43.7
43.46.11.2,142.21.28.7
43.24.12.1,142.25.14.6
43.53.30.5,142.58.11
43.0.30.6,144.21.45.2
44.21.8.2,141.41.34
41.47.22.7,140.44.53.5
44.44.46.5,141.53.16.6
45.26.20.4,141.2.10.3
45.10.48.3,141.8.26.3
43.21.23.8,142.55.38.7
43.4.47,141.17.16.3
43.3.39.4,141.22.2.1
43.0.43,141.26.59.1
43.3.5.2,141.28.14.7
43.3.43.6,141.22.0.2
43.8.27.9,141.15.14.3
42.59.20.6,141.26.26.4
43.3.46.5,141.24.27.1
43.3.18.2,141.20.55.1
43.3.31.5,141.28.31.2
43.1.49,141.26.6.5
43.3.35.8,141.22.9.2
43.3.17.1,141.20.43.7
43.4.23.1,141.20.5.4
43.3.21.4,141.25.32.7
43.2.4.7,141.21.5.8
43.1.49.2,141.20.15.9
43.8.7.7,141.20.19.3
43.4.45.1,141.16.8.3
43.4.18.2,141.24.27.8
43.7.1.4,141.16.3.7
43.2.46.4,141.23.47.3
40.34.49.3,140.29.43.8
40.34.59,140.34.18.6
40.33.31.2,140.31.5.2
40.34.0.3,140.33.6.4
40.37.50.1,140.33.2.2
40.33.37.4,141.14.17.5
40.35.16.6,141.5.55
40.36.56.1,141.12.23.2
40.44.10.1,140.20.46.3
40.41.45.7,140.27.51.2
40.51.2.9,140.40.53.8
40.31.2.4,141.25.31.8
40.38.4.4,140.34.53.1
40.38.0.8,140.25.46
40.44.6.1,141.16.0.7
40.44.1.5,141.16.8.3
40.35.18.5,140.25.0.6
41.11.52,140.58.35.6
40.34.45.9,141.26.11.6
40.48.2.5,140.45.25.6
40.25.11.7,141.19.52.8
40.36.2.9,141.15.34.6
40.53.55.5,140.51.37.7
40.49.41.7,140.47.3
40.49.24.2,140.45.1.3
40.30.25.7,141.28.42.9
40.47.56.2,140.47.0.4
40.48.28.2,140.47.58.3
40.35.54.3,141.25.26.1
40.47.41.6,140.45.33.2
40.49.35.5,140.47.58.4
40.49.30.6,140.46.7.7
40.49.27.5,140.45.41.2
40.30.23.3,141.31.48.3
40.30.40.3,141.30.5.6
39.18.23.9,141.0.5.4
39.8.46.9,141.7.50.3
39.43.38.6,141.6.40.4
38.55.53,141.7.4.9
39.9.23.4,141.8.46.4
39.20.10.1,141.6.32.2
39.13.54.3,141.5.8.5
38.56.14.4,141.7.8.3
39.40.13.8,141.9.22.8
39.41.7.3,141.9.40.9
39.41.43.3,141.10.2.2
39.18.45,141.6.46.2
39.41.33.8,141.6.23.2
39.41.5.4,141.8.8.6
39.5.57.3,141.42.29.2
39.5.29.4,141.42.22.1
40.24.44.5,141.42.29.3
37.59.40.4,140.45.7.2
38.5.23.2,140.46.0.6
38.18.40.8,141.1.59.2
38.39.2.9,141.16.19.5
38.49.58.2,140.59.8.4
38.44.23.8,141.15.21.5
38.53.49.8,141.33.57.3
38.17.4.9,141.0.24.6
38.18.8.6,141.2.7.4
38.33.50.1,140.57.35.8
38.32.24.3,141.8.59.7
37.59.53.3,140.37.10
38.35.53.8,140.42.42.2
38.17.28,141.2.24.6
38.5.21.6,140.39.26.3
38.17.18,141.31.15.3
38.11.5.2,140.38.13.6
38.2.39.7,140.53.35.1
38.24.28.6,141.27.19.8
38.18.3,140.52.35.7
38.16.0.1,140.58.51
38.1.45.4,140.37.48.3
38.15.40.7,140.51.57
38.16.18.2,140.57.36.7
38.24.11.8,140.53.8.4
38.25.31.2,140.53.26.6
38.17.24,141.0.32.6
38.27.36.3,141.16.59.5
38.16.16.3,140.51.46
38.14.36.5,140.52.45.7
38.15.57.8,140.52.17.1
38.15.45.7,140.52.24.2
38.14.27.2,140.53.2.9
38.18.38.3,140.50.50.9
38.47.59.1,141.3.20.4
38.18.55.6,140.54.2.1
38.26.9.5,140.53.28.3
38.15.4,140.55.40.8
38.13.19.9,140.53.52.4
39.42.4.7,140.6.34.5
40.18.12.2,140.33.50.1
39.18.33.2,140.33.25.3
39.30.31.3,140.23.17.2
39.43.9.6,140.6.29.7
39.19.8.8,140.32.52.1
39.43.6.7,140.5.13.9
39.17.47.8,140.33.17
40.11.27.1,140.1.22.1
39.19.35.5,140.33.17.1
40.16.20.1,140.33.32
39.39.59.2,140.10.5.9
40.16.37,140.29.2.2
39.47.49.7,140.3.41.6
39.46.44.1,140.4.5.6
39.19.3.6,140.33.20.5
39.40.33.7,140.8.4.2
40.11.25,140.2.14.6
39.43.47.7,140.4.48.2
39.18.49.9,140.33.22.8
39.9.38.8,140.29.21
39.47.25.7,140.3.50.6
39.46.57.7,140.3.59.1
38.36.10,139.34.14.2
38.57.50.1,139.50.27.6
38.37.18.5,140.22.52.9
37.54.35,140.8.6.9
38.31.29.5,140.23.44.7
38.37.59.4,140.22.20.6
38.3.47.9,139.41.32.6
38.14.31.7,140.23.5.5
38.15.7,140.19.34.3
38.15.29.1,140.17.14.6
38.49.7.4,139.49.57.8
38.54.4,139.51.21.6
38.58.9.9,139.50.35.5
38.10.54.8,140.18.36.5
38.13.13.8,140.19.51.1
38.13.55.8,140.20.41.1
37.57.22.7,140.7.31.4
38.19.26.4,140.21.50.2
38.21.9.5,140.23.13.8
38.21.38.5,140.23.17.9
38.28.37.8,140.22.57.9
38.44.37.8,140.16.7.4
38.45.0.6,139.50.0.9
37.0.4,140.51.25.3
37.2.0,140.51.15.1
37.7.5.1,140.9.3.9
37.11.56.3,140.20.8.7
37.30.49.9,140.24.7.8
37.30.57.8,140.24.29
37.49.15.4,140.32.47.1
36.57.52.7,140.54.16.7
37.28.37.2,139.54.16.5
37.24.46.9,140.23.28.3
37.25.7,140.23.10.5
37.32.20.8,140.23.49.7
37.30.7.3,140.23.31.8
37.45.37.6,140.27.51.5
37.13.4.5,140.35.56
37.6.3.6,140.59.5
37.45.29.8,140.57.1.7
37.3.43.9,140.51.9.3
37.4.2.5,140.56.44.4
37.35.58.6,140.27.43
37.42.40.3,140.27.59.4
37.47.50.7,140.29.23.1
37.17.19.1,140.22.6.3
37.31.4.8,139.55.7.7
37.31.4.2,139.55.59.3
37.33.52.5,139.49.6.7
37.32.50.5,139.58.10.7
37.49.5.8,140.56.33.8
35.54.38.9,140.10.50.1
36.5.7.6,140.7.3.1
36.0.25.1,140.11.34
36.2.3.3,140.12.45.2
36.23.1.3,140.31.53.5
36.2.20.1,140.10.32.6
36.23.41.7,140.28.24.7
36.31.5.1,140.26.14.4
35.51.35.6,140.41.58.9
35.53.4.4,140.40.30.7
36.6.54.4,140.11.28.2
36.10.43.9,139.57.14.7
36.12.4.9,139.48.28.9
35.57.30.1,140.19.0.2
36.10.51.4,139.44.22.8
35.56.21.9,139.59.43.7
36.4.30.2,139.59.13.8
36.24.15.7,140.28.47.7
36.13.21.8,140.19.11.6
36.24.28.1,140.30.34.5
36.25.17.5,140.31.5
36.29.5.3,140.33.45.7
36.37.28.7,140.40.52.2
36.6.52.9,140.35.21.7
36.11.14.3,140.32.52.3
36.11.55.6,139.43.8.4
36.17.23,139.50.23.6
36.11.45.5,139.43.8.2
36.8.49.6,139.42.41.2
36.15.45.4,139.45.43.8
36.20.30.2,139.27.32.5
36.25.56.9,139.51.49.9
36.38.24,139.26.56.9
36.47.37.6,139.56.42
36.17.50.2,139.28.49
36.26.22.5,139.58.54.3
36.41.8.4,139.57.30.3
36.40.42.9,139.57.37.3
36.36.52.1,139.59.6.1
36.17.27.5,139.34.52.4
36.53.38.1,139.58.49.3
36.34.21.3,139.54.59.5
36.32.24.8,139.53.4.9
36.23.50.2,139.45.19.2
36.40.20.9,140.11.58.9
36.20.44.4,139.51.9.6
36.21.41.7,139.51.38.1
36.31.26.5,139.55.20.1
36.15.39.4,138.51.18.9
36.20.34.1,138.59.17.1
36.23.1.6,138.52.54.1
36.34.40.5,138.49.48.1
36.12.57.4,139.3.20.7
36.14.34.8,139.34.12.7
36.17.53.7,139.2.24.4
36.18.49.6,139.9.35.3
36.19.57.3,139.9.9.4
36.19.16.4,139.10.44
36.16.11.6,139.28.7
36.15.28,139.24.16.9
36.15.24.3,139.33.25.3
36.23.6.8,139.2.14.9
36.24.43.1,139.5.23.3
